id,full_name,first_name_x,last_name_x,is_active,person_id,first_name_y,last_name_y,school,country,height,weight,season_exp,jersey,position,rosterstatus,team_id,team_name,team_city,from_year,to_year,dleague_flag,nba_flag,games_played_flag,draft_year,draft_round,draft_number,greatest_75_flag,edad,años_jugando,undrafted
248,George Lynch,George,Lynch,0,248.0,George,Lynch,North Carolina,USA,6-8,235.0,13.0,9,Forward,Inactive,1610612740.0,Hornets,New Orleans,1993.0,2004.0,N,Y,Y,1993,1,12,N,55.0,11.0,0
77426,Kevin Lynch,Kevin,Lynch,0,77426.0,Kevin,Lynch,Minnesota,USA,6-5,195.0,2.0,9,Forward,Inactive,1610612766.0,Hornets,Charlotte,1991.0,1992.0,N,Y,Y,1991,2,28,N,56.0,1.0,0
77427,Mike Lynn,Mike,Lynn,0,77427.0,Mike,Lynn,UCLA,USA,6-7,215.0,2.0,25,Forward,Inactive,1610612747.0,Lakers,Los Angeles,1969.0,1970.0,N,Y,Y,1968,4,39,N,79.0,1.0,0
1627815,Sheldon Mac,Sheldon,Mac,0,1627815.0,Sheldon,Mac,Miami,USA,6-6,200.0,2.0,9,Guard-Forward,Inactive,1610612764.0,Wizards,Washington,2016.0,2016.0,Y,Y,Y,2016,,,N,32.0,0.0,0
1928,Todd MacCulloch,Todd,MacCulloch,0,1928.0,Todd,MacCulloch,Washington,Canada,7-0,280.0,5.0,11,Center,Inactive,1610612755.0,76ers,Philadelphia,1999.0,2003.0,N,Y,Y,1999,2,47,N,49.0,4.0,0
77430,Ronnie MacGilvray,Ronnie,MacGilvray,0,77430.0,Ronnie,MacGilvray,St. John's (NY),USA,6-2,185.0,1.0,8,Guard,Inactive,1610612737.0,Hawks,Milwaukee,1954.0,1954.0,N,Y,Y,1952,,,N,95.0,0.0,0
931,Don MacLean,Don,MacLean,0,931.0,Don,MacLean,UCLA,USA,,,9.0,,Forward,Inactive,0.0,,,1992.0,2000.0,N,Y,Y,1992,1,19,N,55.0,8.0,0
77428,Mike Macaluso,Mike,Macaluso,0,77428.0,Mike,Macaluso,Canisius,USA,6-5,210.0,1.0,21,Forward,Inactive,1610612746.0,Braves,Buffalo,1973.0,1973.0,N,Y,Y,1973,6,88,N,74.0,0.0,0
77429,Ed Macauley,Ed,Macauley,0,77429.0,Ed,Macauley,St. Louis,USA,6-8,185.0,10.0,22,Center,Inactive,1610612738.0,Celtics,Boston,1949.0,1958.0,N,Y,Y,1949,,,N,97.0,9.0,0
203159,Scott Machado,Scott,Machado,0,203159.0,Scott,Machado,Iona,USA,6-1,205.0,2.0,,Guard,Inactive,0.0,,,2012.0,2018.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,35.0,6.0,0
101178,Arvydas Macijauskas,Arvydas,Macijauskas,0,101178.0,Arvydas,Macijauskas,Tau Ceramica,Lithuania,6-4,214.0,1.0,6,Guard,Inactive,1610612740.0,Hornets,New Orleans/Oklahoma City,2005.0,2005.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N,45.0,0.0,0
77432,Ollie Mack,Ollie,Mack,0,77432.0,Ollie,Mack,East Carolina,USA,6-3,185.0,3.0,17,Guard,Inactive,1610612742.0,Mavericks,Dallas,1979.0,1981.0,N,Y,Y,1979,2,25,N,68.0,2.0,0
694,Sam Mack,Sam,Mack,0,694.0,Sam,Mack,Houston,USA,,,7.0,,Guard,Inactive,0.0,,,1992.0,2001.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N,55.0,9.0,0
202714,Shelvin Mack,Shelvin,Mack,0,202714.0,Shelvin,Mack,Butler,USA,6-3,203.0,9.0,6,Guard,Inactive,1610612737.0,Hawks,Atlanta,2011.0,2018.0,Y,Y,Y,2011,2,34,N,35.0,7.0,0
